,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
7539,64,WEST 3 STREET,64 WEST 3 STREET,10012,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-04,40.729448,-73.99816700000001,West Village,greenwich village - soho
7543,221,WEST 29 STREET,221 WEST 29 STREET,10001,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-04,40.748214000000004,-73.993735,Midtown-Midtown South,chelsea - clinton
7549,157,SUFFOLK STREET,157 SUFFOLK STREET,10002,Manhattan,Indoor Air Quality,Dust from Construction,2011-03-28,40.720842,-73.985151,Chinatown,lower east side
7550,135,EAST 39 STREET,135 EAST 39 STREET,10016,Manhattan,Indoor Air Quality,Dust from Construction,2011-04-28,40.749411,-73.977096,Murray Hill-Kips Bay,gramercy park - murray hill
7553,504,EAST 84 STREET,504 EAST 84 STREET,10028,Manhattan,Indoor Air Quality,Dust from Construction,2013-02-12,40.774428,-73.94767,Yorkville,upper east side
7581,44,EAST 1 STREET,44 EAST 1 STREET,10003,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-05,40.723911,-73.98994499999999,East Village,union square - lower east side
7594,98,RIVERSIDE DRIVE,98 RIVERSIDE DRIVE,10024,Manhattan,Indoor Air Quality,Dust from Construction,2010-12-18,40.786636,-73.98080999999999,Upper West Side,upper west side
7606,222,EAST 12 STREET,222 EAST 12 STREET,10003,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-07,40.731503000000004,-73.98707900000001,East Village,union square - lower east side
7609,220,EAST 27 STREET,220 EAST 27 STREET,10016,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-07,40.740984999999995,-73.98048100000001,Murray Hill-Kips Bay,gramercy park - murray hill
7610,272,YORK AVENUE,272 YORK AVENUE,10301,Staten Island,Indoor Air Quality,Dust from Construction,2014-12-08,40.639748,-74.08808,West New Brighton-New Brighton-St. George,stapleton - st. george
7614,64,SOUTH OXFORD STREET,64 SOUTH OXFORD STREET,11217,Brooklyn,Indoor Air Quality,Dust from Construction,2014-12-08,40.687886,-73.973775,Fort Greene,downtown - heights - slope
7615,1047,BEDFORD AVENUE,1047 BEDFORD AVENUE,11216,Brooklyn,Indoor Air Quality,Dust from Construction,2014-12-08,40.688147,-73.954852,Bedford,bedford stuyvesant - crown heights
7623,99,MESEROLE STREET,99 MESEROLE STREET,11206,Brooklyn,Indoor Air Quality,Dust from Construction,2011-05-31,40.707839,-73.945836,East Williamsburg,williamsburg - bushwick
7629,181,CITY ISLAND AVENUE,181 CITY ISLAND AVENUE,10464,Bronx,Indoor Air Quality,Dust from Construction,2014-12-09,40.843231,-73.785004,Pelham Bay-Country Club-City Island,pelham - throgs neck
7635,71,LEFFERTS PLACE,71 LEFFERTS PLACE,11238,Brooklyn,Indoor Air Quality,Dust from Construction,2014-12-09,40.681232,-73.960427,Clinton Hill,bedford stuyvesant - crown heights
7638,220,EAST 27 STREET,220 EAST 27 STREET,10016,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-10,40.740984999999995,-73.98048100000001,Murray Hill-Kips Bay,gramercy park - murray hill
7639,120,WEST 25 STREET,120 WEST 25 STREET,10001,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-10,40.74453,-73.99270600000001,Hudson Yards-Chelsea-Flatiron-Union Square,chelsea - clinton
7648,1428,5 AVENUE,1428 5 AVENUE,10035,Manhattan,Indoor Air Quality,Dust from Construction,2010-07-02,40.80115,-73.94612099999999,Central Harlem South,east harlem
7651,3456,BROADWAY,3456 BROADWAY,10031,Manhattan,Indoor Air Quality,Dust from Construction,2012-02-04,40.823698,-73.9521,Hamilton Heights,washington heights
7652,78-00,SHORE FRONT PARKWAY,78-00 SHORE FRONT PARKWAY,11693,Queens,Indoor Air Quality,Dust from Construction,2013-04-04,40.586489,-73.8042,Hammels-Arverne-Edgemere,rockaway
7654,815,GREENWICH STREET,815 GREENWICH STREET,10014,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-10,40.738417999999996,-74.006456,West Village,greenwich village - soho
7656,4300,BROADWAY,4300 BROADWAY,10033,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-10,40.851482,-73.934661,Washington Heights North,washington heights
7659,25,JAY STREET,25 JAY STREET,11201,Brooklyn,Indoor Air Quality,Dust from Construction,2014-12-11,40.704159999999995,-73.986572,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,downtown - heights - slope
7661,2275,WASHINGTON AVENUE,2275 WASHINGTON AVENUE,10457,Bronx,Indoor Air Quality,Dust from Construction,2014-12-11,40.855028000000004,-73.893336,Claremont-Bathgate,crotona -tremont
7662,108,STEUBEN STREET,108 STEUBEN STREET,11205,Brooklyn,Indoor Air Quality,Dust from Construction,2014-12-11,40.694337,-73.963261,Clinton Hill,downtown - heights - slope
7666,68,JAY STREET,68 JAY STREET,11201,Brooklyn,Indoor Air Quality,Dust from Construction,2014-12-11,40.702763,-73.986681,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,downtown - heights - slope
7671,219,EAST 196 STREET,219 EAST 196 STREET,10458,Bronx,Indoor Air Quality,Dust from Construction,2014-12-11,40.867556,-73.892138,Bedford Park-Fordham North,fordham - bronx pk
7692,101,WEST 78 STREET,101 WEST 78 STREET,10024,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-12,40.781461,-73.976414,Upper West Side,upper west side
7693,162,EAST 55 STREET,162 EAST 55 STREET,10022,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-12,40.759293,-73.969318,Turtle Bay-East Midtown,gramercy park - murray hill
7696,240-54,69 AVENUE,240-54 69 AVENUE,11362,Queens,Indoor Air Quality,Dust from Construction,2014-12-12,40.750341,-73.737313,Douglas Manor-Douglaston-Little Neck,bayside - littleneck
7710,364,15 STREET,364 15 STREET,11215,Brooklyn,Indoor Air Quality,Dust from Construction,2014-12-12,40.663028999999995,-73.984083,Park Slope-Gowanus,downtown - heights - slope
7715,31,CORNELIA STREET,31 CORNELIA STREET,10014,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-13,40.731334000000004,-74.00241700000001,West Village,greenwich village - soho
7734,59,EAST 7 STREET,59 EAST 7 STREET,10003,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-15,40.727633000000004,-73.987282,East Village,union square - lower east side
7745,247,JEFFERSON AVENUE,247 JEFFERSON AVENUE,11216,Brooklyn,Indoor Air Quality,Dust from Construction,2014-12-15,40.68353,-73.947965,Bedford,bedford stuyvesant - crown heights
7751,170,AVENUE B,170 AVENUE B,10009,Manhattan,Indoor Air Quality,Dust from Construction,2013-02-28,40.727278000000005,-73.97962199999999,East Village,union square - lower east side
7753,1576,TAYLOR AVENUE,1576 TAYLOR AVENUE,10460,Bronx,Indoor Air Quality,Dust from Construction,2014-12-15,40.839737,-73.866917,West Farms-Bronx River,crotona -tremont
7757,23,EAST 32 STREET,23 EAST 32 STREET,11226,Brooklyn,Indoor Air Quality,Dust from Construction,2014-12-16,40.650225,-73.947576,Erasmus,east flatbush - flatbush
7765,390,JACKSON AVENUE,390 JACKSON AVENUE,10454,Bronx,Indoor Air Quality,Dust from Construction,2014-12-16,40.809153,-73.910547,Mott Haven-Port Morris,hunts point - mott haven
7779,156-08,RIVERSIDE DRIVE WEST,156-08 RIVERSIDE DRIVE WEST,10032,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-17,40.83509,-73.94889,Washington Heights South,washington heights
7786,278,WEST 117 STREET,278 WEST 117 STREET,10026,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-18,40.804812,-73.954216,Central Harlem South,central harlem - morningside heights
7787,14,EAST 125 STREET,14 EAST 125 STREET,10035,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-18,40.806171,-73.941703,East Harlem North,east harlem
7789,247,JEFFERSON AVENUE,247 JEFFERSON AVENUE,11216,Brooklyn,Indoor Air Quality,Dust from Construction,2014-12-19,40.68353,-73.947965,Bedford,bedford stuyvesant - crown heights
7795,975,WALTON AVENUE,975 WALTON AVENUE,10452,Bronx,Indoor Air Quality,Dust from Construction,2013-05-22,40.829399,-73.922802,West Concourse,high bridge - morrisania
7799,41,WEST 24 STREET,41 WEST 24 STREET,10010,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-19,40.742864000000004,-73.990635,Hudson Yards-Chelsea-Flatiron-Union Square,gramercy park - murray hill
7801,282,CABRINI BOULEVARD,282 CABRINI BOULEVARD,10040,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-19,40.856065,-73.937588,Washington Heights North,washington heights
7802,282,CABRINI BOULEVARD,282 CABRINI BOULEVARD,10040,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-19,40.856065,-73.937588,Washington Heights North,washington heights
7803,33,HOWARD AVENUE,33 HOWARD AVENUE,11221,Brooklyn,Indoor Air Quality,Dust from Construction,2014-12-19,40.687665,-73.920932,Stuyvesant Heights,williamsburg - bushwick
7814,583,LORIMER STREET,583 LORIMER STREET,11211,Brooklyn,Indoor Air Quality,Dust from Construction,2014-12-20,40.714409,-73.949437,East Williamsburg,greenpoint
7818,6110,20 AVENUE,6110 20 AVENUE,11204,Brooklyn,Indoor Air Quality,Dust from Construction,2010-10-04,40.618681,-73.983625,Borough Park,borough park
7832,31,CORNELIA STREET,31 CORNELIA STREET,10014,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-22,40.731334000000004,-74.00241700000001,West Village,greenwich village - soho
7851,30,EAST 30 STREET,30 EAST 30 STREET,10016,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-23,40.745111,-73.984503,Midtown-Midtown South,gramercy park - murray hill
7852,1530,EAST 172 STREET,1530 EAST 172 STREET,10472,Bronx,Indoor Air Quality,Dust from Construction,2014-12-23,40.831201,-73.879271,West Farms-Bronx River,pelham - throgs neck
7871,56,WEST 11 STREET,56 WEST 11 STREET,10011,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-24,40.734764,-73.99680699999999,West Village,chelsea - clinton
7886,9,BRADFORD STREET,9 BRADFORD STREET,11207,Brooklyn,Indoor Air Quality,Dust from Construction,2014-12-26,40.679221999999996,-73.89384799999999,Cypress Hills-City Line,east new york
7887,136,WEST 119 STREET,136 WEST 119 STREET,10026,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-26,40.804442,-73.949445,Central Harlem South,central harlem - morningside heights
7892,334,WEST 49 STREET,334 WEST 49 STREET,10019,Manhattan,Indoor Air Quality,Dust from Construction,2012-03-04,40.762305,-73.988113,Clinton,chelsea - clinton
7893,129,WEST 147 STREET,129 WEST 147 STREET,10039,Manhattan,Indoor Air Quality,Dust from Construction,2012-06-20,40.822210999999996,-73.936399,Central Harlem North-Polo Grounds,central harlem - morningside heights
7902,30,EAST 30 STREET,30 EAST 30 STREET,10016,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-27,40.745111,-73.984503,Midtown-Midtown South,gramercy park - murray hill
7911,101,WEST 12 STREET,101 WEST 12 STREET,10011,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-28,40.736222,-73.998228,West Village,chelsea - clinton
7916,737,PARK AVENUE,737 PARK AVENUE,10021,Manhattan,Indoor Air Quality,Dust from Construction,2012-03-16,40.770564,-73.96420400000001,Upper East Side-Carnegie Hill,upper east side
7932,565,WEST 139 STREET,565 WEST 139 STREET,10031,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-29,40.822356,-73.95251,Hamilton Heights,washington heights
7938,20 WEST,WEST 47 STREET,20 WEST WEST 47 STREET,10036,Manhattan,Indoor Air Quality,Dust from Construction,2013-08-23,40.757034000000004,-73.97948000000001,Midtown-Midtown South,chelsea - clinton
7939,59,EAST 7 STREET,59 EAST 7 STREET,10003,Manhattan,Indoor Air Quality,Dust from Construction,2014-12-29,40.727633000000004,-73.987282,East Village,union square - lower east side
7940,807,ST JOHNS PLACE,807 ST JOHNS PLACE,11216,Brooklyn,Indoor Air Quality,Dust from Construction,2014-12-30,40.671702,-73.951352,Crown Heights North,bedford stuyvesant - crown heights
