,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
41095,5927,RIVERDALE AVENUE,5927 RIVERDALE AVENUE,10471,Bronx,Mold,Public Complaint - Comm Location,2020-02-12,40.907406,-73.903964,North Riverdale-Fieldston-Riverdale,kingsbridge - riverdale
41133,300,WEST   22 STREET,300 WEST   22 STREET,10011,Manhattan,Mold,Public Complaint - Comm Location,2020-02-13,40.744802,-73.999401,Hudson Yards-Chelsea-Flatiron-Union Square,chelsea - clinton
41149,1504,SHEEPSHEAD BAY ROAD,1504 SHEEPSHEAD BAY ROAD,11235,Brooklyn,Mold,Public Complaint - Comm Location,2013-04-25,40.587272999999996,-73.953743,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,coney island - sheepshead bay
41152,109-50,MERRICK BOULEVARD,109-50 MERRICK BOULEVARD,11433,Queens,Mold,Public Complaint - Comm Location,2020-02-15,40.696408,-73.783289,South Jamaica,jamaica
41160,127,WEST   43 STREET,127 WEST   43 STREET,10036,Manhattan,Mold,Public Complaint - Comm Location,2020-02-16,40.755873,-73.984454,Midtown-Midtown South,chelsea - clinton
41173,226,WEST   26 STREET,226 WEST   26 STREET,10001,Manhattan,Mold,Public Complaint - Comm Location,2020-02-17,40.746399,-73.99521800000001,Hudson Yards-Chelsea-Flatiron-Union Square,chelsea - clinton
41178,1,MILBANK ROAD,1 MILBANK ROAD,10306,Staten Island,Mold,Public Complaint - Comm Location,2020-02-18,40.56133,-74.10299499999999,New Dorp-Midland Beach,south beach - tottenville
41186,215,WEST   23 STREET,215 WEST   23 STREET,10011,Manhattan,Mold,Public Complaint - Comm Location,2020-02-18,40.744403999999996,-73.996351,Hudson Yards-Chelsea-Flatiron-Union Square,chelsea - clinton
41187,50,LINDEN BOULEVARD,50 LINDEN BOULEVARD,11226,Brooklyn,Mold,Public Complaint - Comm Location,2020-02-18,40.652235,-73.957363,Prospect Lefferts Gardens-Wingate,east flatbush - flatbush
41214,721,FAILE STREET,721 FAILE STREET,10474,Bronx,Mold,Public Complaint - Comm Location,2011-09-15,40.814734,-73.886537,Hunts Point,hunts point - mott haven
41218,370,EAST 76 STREET,370 EAST 76 STREET,10021,Manhattan,Mold,Public Complaint - Comm Location,2013-01-03,40.770731,-73.954944,Lenox Hill-Roosevelt Island,upper east side
41270,1386,LEXINGTON AVENUE,1386 LEXINGTON AVENUE,10128,Manhattan,Mold,Public Complaint - Comm Location,2020-02-20,40.782928000000005,-73.953094,Upper East Side-Carnegie Hill,upper east side
41289,723,MANHATTAN AVENUE,723 MANHATTAN AVENUE,11222,Brooklyn,Mold,Public Complaint - Comm Location,2020-02-20,40.726081,-73.952116,Greenpoint,greenpoint
41334,112,WEST BROADWAY,112 WEST BROADWAY,10013,Manhattan,Mold,Public Complaint - Comm Location,2020-02-23,40.716278,-74.00863199999999,SoHo-TriBeCa-Civic Center-Little Italy,greenwich village - soho
41337,110,WAVERLY AVENUE,110 WAVERLY AVENUE,11205,Brooklyn,Mold,Public Complaint - Comm Location,2020-02-23,40.694462,-73.9681,Clinton Hill,downtown - heights - slope
41373,37-18,NORTHERN BOULEVARD,37-18 NORTHERN BOULEVARD,11101,Queens,Mold,Public Complaint - Comm Location,2012-05-14,40.752096,-73.925887,Hunters Point-Sunnyside-West Maspeth,long island city - astoria
41413,5,GAIN COURT,5 GAIN COURT,11229,Brooklyn,Mold,Public Complaint - Comm Location,2013-04-01,40.586135999999996,-73.922165,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,coney island - sheepshead bay
41415,3761,VICTORY BOULEVARD,3761 VICTORY BOULEVARD,10314,Staten Island,Mold,Public Complaint - Comm Location,2020-02-27,40.597701,-74.181213,New Springville-Bloomfield-Travis,willowbrook
41424,2985,WEBSTER AVENUE,2985 WEBSTER AVENUE,10458,Bronx,Mold,Public Complaint - Comm Location,2020-02-27,40.867956,-73.882501,Bedford Park-Fordham North,fordham - bronx pk
41426,2210,CHURCH AVENUE,2210 CHURCH AVENUE,11226,Brooklyn,Mold,Public Complaint - Comm Location,2020-02-27,40.650407,-73.958171,Erasmus,east flatbush - flatbush
41440,4469,BROADWAY,4469 BROADWAY,10040,Manhattan,Mold,Public Complaint - Comm Location,2020-02-28,40.857467,-73.932248,Washington Heights North,washington heights
41443,1,EAST 35 STREET,1 EAST 35 STREET,10016,Manhattan,Mold,Public Complaint - Comm Location,2020-02-28,40.749009,-73.98383100000001,Murray Hill-Kips Bay,gramercy park - murray hill
41453,23-41,100 STREET,23-41 100 STREET,11369,Queens,Mold,Public Complaint - Comm Location,2020-02-29,40.767801,-73.87037099999999,East Elmhurst,west queens
41485,256,WEST 38 STREET,256 WEST 38 STREET,10018,Manhattan,Mold,Public Complaint - Comm Location,2020-03-01,40.754164,-73.990356,Midtown-Midtown South,chelsea - clinton
41492,298,WEST 149 STREET,298 WEST 149 STREET,10039,Manhattan,Mold,Public Complaint - Comm Location,2020-03-01,40.825201,-73.93964799999999,Central Harlem North-Polo Grounds,central harlem - morningside heights
41493,201,WEST 148 STREET,201 WEST 148 STREET,10039,Manhattan,Mold,Public Complaint - Comm Location,2020-03-01,40.823778999999995,-73.93815699999999,Central Harlem North-Polo Grounds,central harlem - morningside heights
41505,76-02,JAMAICA AVENUE,76-02 JAMAICA AVENUE,11421,Queens,Mold,Public Complaint - Comm Location,2020-03-02,40.691582000000004,-73.865475,Woodhaven,southwest queens
41511,2216,CHURCH AVENUE,2216 CHURCH AVENUE,11226,Brooklyn,Mold,Public Complaint - Comm Location,2020-03-02,40.65041,-73.95810999999999,Erasmus,east flatbush - flatbush
41514,3240,BRONX BOULEVARD,3240 BRONX BOULEVARD,10467,Bronx,Mold,Public Complaint - Comm Location,2020-03-02,40.872282,-73.870471,Williamsbridge-Olinville,fordham - bronx pk
41523,150,RICHMOND TERRACE,150 RICHMOND TERRACE,10301,Staten Island,Mold,Public Complaint - Comm Location,2012-03-27,40.645821000000005,-74.077908,West New Brighton-New Brighton-St. George,stapleton - st. george
41531,1,CENTRAL PARK WEST,1 CENTRAL PARK WEST,10023,Manhattan,Mold,Public Complaint - Comm Location,2020-03-03,40.768529,-73.981588,Lincoln Square,upper west side
41586,1829,FLATBUSH AVENUE,1829 FLATBUSH AVENUE,11210,Brooklyn,Mold,Public Complaint - Comm Location,2011-04-06,40.625465999999996,-73.939868,Flatlands,east flatbush - flatbush
41589,244,EAST 14 STREET,244 EAST 14 STREET,10003,Manhattan,Mold,Public Complaint - Comm Location,2011-08-08,40.732848,-73.986148,East Village,union square - lower east side
41590,171,WEST STREET,171 WEST STREET,11222,Brooklyn,Mold,Workplace - 10 or Less Staff,2011-08-29,40.733155,-73.960024,Greenpoint,greenpoint
41607,37-18,NORTHERN BOULEVARD,37-18 NORTHERN BOULEVARD,11101,Queens,Mold,Public Complaint - Comm Location,2012-05-14,40.752096,-73.925887,Hunters Point-Sunnyside-West Maspeth,long island city - astoria
41698,2929,WEST 30 STREET,2929 WEST 30 STREET,11224,Brooklyn,Mold,Public Complaint - Comm Location,2012-11-19,40.574607,-73.99629200000001,Seagate-Coney Island,coney island - sheepshead bay
41699,1789,FLATBUSH AVENUE,1789 FLATBUSH AVENUE,11210,Brooklyn,Mold,Public Complaint - Comm Location,2013-01-30,40.62632,-73.940754,Flatlands,east flatbush - flatbush
41757,5069,BROADWAY,5069 BROADWAY,10034,Manhattan,Mold,Public Complaint - Comm Location,2012-04-25,40.870504,-73.91504599999999,Marble Hill-Inwood,washington heights
41758,445,WEST 49 STREET,445 WEST 49 STREET,10019,Manhattan,Mold,Public Complaint - Comm Location,2012-10-01,40.763422,-73.990723,Clinton,chelsea - clinton
41765,50,WEST 34 STREET,50 WEST 34 STREET,10001,Manhattan,Mold,Public Complaint - Comm Location,2020-03-10,40.749359999999996,-73.986773,Midtown-Midtown South,chelsea - clinton
41813,51-02,21 STREET,51-02 21 STREET,11101,Queens,Mold,Public Complaint - Comm Location,2020-03-12,40.741017,-73.949742,Hunters Point-Sunnyside-West Maspeth,long island city - astoria
41822,380,CHELSEA ROAD,380 CHELSEA ROAD,10314,Staten Island,Mold,Public Complaint - Comm Location,2012-11-08,40.606425,-74.18936500000001,New Springville-Bloomfield-Travis,willowbrook
41825,50,WEST   34 STREET,50 WEST   34 STREET,10001,Manhattan,Mold,Public Complaint - Comm Location,2020-03-12,40.749359999999996,-73.986773,Midtown-Midtown South,chelsea - clinton
41842,316,EAST 59 STREET,316 EAST 59 STREET,10022,Manhattan,Mold,Workplace - 10 or Less Staff,2011-11-02,40.7602,-73.963379,Turtle Bay-East Midtown,gramercy park - murray hill
41895,300,WEST  145 STREET,300 WEST  145 STREET,10039,Manhattan,Mold,Public Complaint - Comm Location,2020-03-16,40.822891999999996,-73.942071,Central Harlem North-Polo Grounds,central harlem - morningside heights
41897,1601,BRONXDALE AVENUE,1601 BRONXDALE AVENUE,10462,Bronx,Mold,Public Complaint - Comm Location,2020-03-16,40.843548,-73.856945,Van Nest-Morris Park-Westchester Square,pelham - throgs neck
41924,1980,UNIONPORT ROAD,1980 UNIONPORT ROAD,10462,Bronx,Mold,Public Complaint - Comm Location,2011-08-29,40.850224,-73.868624,Van Nest-Morris Park-Westchester Square,pelham - throgs neck
41936,820,ANNADALE ROAD,820 ANNADALE ROAD,10312,Staten Island,Mold,Public Complaint - Comm Location,2020-03-18,40.542059,-74.177454,Annadale-Huguenot-Prince's Bay-Eltingville,south beach - tottenville
41953,1641,BERGEN STREET,1641 BERGEN STREET,11213,Brooklyn,Mold,Public Complaint - Comm Location,2020-03-19,40.674951,-73.92874499999999,Crown Heights North,bedford stuyvesant - crown heights
41963,1621,CORTELYOU ROAD,1621 CORTELYOU ROAD,11226,Brooklyn,Mold,Public Complaint - Comm Location,2020-03-19,40.641736,-73.963297,Flatbush,east flatbush - flatbush
41975,513,BROADWAY,513 BROADWAY,10012,Manhattan,Mold,Public Complaint - Comm Location,2012-07-17,40.722526,-73.999246,SoHo-TriBeCa-Civic Center-Little Italy,greenwich village - soho
41999,90,BROAD STREET,90 BROAD STREET,10004,Manhattan,Mold,Public Complaint - Comm Location,2012-12-20,40.703953999999996,-74.01159200000001,Battery Park City-Lower Manhattan,lower manhattan
