,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
7835,150,BRIGHTON 15 STREET,150 BRIGHTON 15 STREET,11235,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-22,40.578106,-73.954789,Brighton Beach,coney island - sheepshead bay
7839,711,WEST 171 STREET,711 WEST 171 STREET,10032,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2013-08-23,40.844179,-73.941427,Washington Heights South,washington heights
7841,8510,21 AVENUE,8510 21 AVENUE,11214,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-22,40.603747999999996,-73.99557800000001,Bensonhurst West,bensonhurst - bay ridge
7844,541,WEST 142 STREET,541 WEST 142 STREET,10031,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-22,40.823974,-73.95055,Hamilton Heights,washington heights
7845,121,WEST 72 STREET,121 WEST 72 STREET,10023,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-22,40.777762,-73.979607,Lincoln Square,upper west side
7847,118-16,JAMAICA AVENUE,118-16 JAMAICA AVENUE,11418,Queens,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-22,40.699958,-73.831038,Richmond Hill,southwest queens
7849,226,COURT STREET,226 COURT STREET,11201,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-22,40.686285999999996,-73.99401800000001,Carroll Gardens-Columbia Street-Red Hook,downtown - heights - slope
7850,541,WEST 142 STREET,541 WEST 142 STREET,10031,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-22,40.823974,-73.95055,Hamilton Heights,washington heights
7853,35,EAST 94 STREET,35 EAST 94 STREET,11212,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-23,40.663717999999996,-73.92711,Rugby-Remsen Village,bedford stuyvesant - crown heights
7854,88-11,69 ROAD,88-11 69 ROAD,11375,Queens,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-23,40.70966,-73.855028,Forest Hills,ridgewood -forest hills
7855,65,ARDEN STREET,65 ARDEN STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-23,40.863033,-73.927824,Washington Heights North,washington heights
7856,121,WEST 72 STREET,121 WEST 72 STREET,10023,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-23,40.777762,-73.979607,Lincoln Square,upper west side
7857,119-32,193 STREET,119-32 193 STREET,11412,Queens,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-23,40.689215999999995,-73.756917,St. Albans,jamaica
