,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
39146,146-57,177 STREET,146-57 177 STREET,11434,Queens,Asbestos,,2012-08-24,40.661437,-73.769064,Springfield Gardens South-Brookville,jamaica
39155,41-50,46 STREET,41-50 46 STREET,11104,Queens,Asbestos,,2019-10-08,40.746263,-73.918088,Hunters Point-Sunnyside-West Maspeth,long island city - astoria
39169,1941,NORTH RAILROAD AVENUE,1941 NORTH RAILROAD AVENUE,10306,Staten Island,Asbestos,,2019-10-09,40.563154,-74.129476,Oakwood-Oakwood Beach,south beach - tottenville
39173,139,SPRING STREET,139 SPRING STREET,10012,Manhattan,Asbestos,,2019-10-09,40.724087,-74.00094200000001,SoHo-TriBeCa-Civic Center-Little Italy,greenwich village - soho
39200,3224,GRAND CONCOURSE,3224 GRAND CONCOURSE,10458,Bronx,Asbestos,,2019-10-10,40.877686,-73.885142,Bedford Park-Fordham North,fordham - bronx pk
39207,401,EAST   81 STREET,401 EAST   81 STREET,10028,Manhattan,Asbestos,,2019-10-11,40.773634,-73.95165300000001,Yorkville,upper east side
39228,320,BEACH  100 STREET,320 BEACH  100 STREET,11694,Queens,Asbestos,,2019-10-14,40.585871000000004,-73.821955,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,rockaway
39238,1343,EAST   64 STREET,1343 EAST   64 STREET,11234,Brooklyn,Asbestos,,2019-10-15,40.620376,-73.916585,Georgetown-Marine Park-Bergen Beach-Mill Basin,canarsie - flatlands
39263,176-15,HENLEY ROAD,176-15 HENLEY ROAD,11432,Queens,Asbestos,,2010-09-28,40.716223,-73.7879,Jamaica Estates-Holliswood,jamaica
39312,200,TROUTMAN STREET,200 TROUTMAN STREET,11206,Brooklyn,Asbestos,,2011-07-20,40.701432000000004,-73.927902,Bushwick South,williamsburg - bushwick
39351,312,LIVINGSTON STREET,312 LIVINGSTON STREET,11217,Brooklyn,Asbestos,,2019-10-21,40.688226,-73.98214399999999,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,downtown - heights - slope
39397,1406,ST JOHN PLACE,1406 ST JOHN PLACE,11213,Brooklyn,Asbestos,,2011-06-13,40.670629,-73.931937,Crown Heights North,bedford stuyvesant - crown heights
39425,85-21,167 STREET,85-21 167 STREET,11432,Queens,Asbestos,,2019-10-25,40.712883000000005,-73.797123,Briarwood-Jamaica Hills,jamaica
39439,92-30,GETTYSBURG STREET,92-30 GETTYSBURG STREET,11426,Queens,Asbestos,,2019-10-26,40.726384,-73.73110799999999,Queens Village,southeast queens
39449,519,ST ANN'S AVENUE,519 ST ANN'S AVENUE,10455,Bronx,Asbestos,,2019-10-26,40.813517,-73.913402,Mott Haven-Port Morris,hunts point - mott haven
39469,56,EAST 130 STREET,56 EAST 130 STREET,10037,Manhattan,Asbestos,,2013-04-24,40.808719,-73.93791800000001,Central Harlem North-Polo Grounds,central harlem - morningside heights
39497,265,EAST   34 STREET,265 EAST   34 STREET,11203,Brooklyn,Asbestos,,2019-10-29,40.650361,-73.945626,East Flatbush-Farragut,east flatbush - flatbush
39498,61-20,GRAND CENTRAL PARKWAY,61-20 GRAND CENTRAL PARKWAY,11375,Queens,Asbestos,,2019-10-29,40.738412,-73.846767,Forest Hills,ridgewood -forest hills
39509,2014,SAINT PAULS AVENUE,2014 SAINT PAULS AVENUE,10461,Bronx,Asbestos,,2011-12-19,40.8529,-73.828986,Pelham Bay-Country Club-City Island,pelham - throgs neck
39541,456,9 AVENUE,456 9 AVENUE,10018,Manhattan,Asbestos,,2019-10-31,40.754313,-73.99561800000001,Hudson Yards-Chelsea-Flatiron-Union Square,chelsea - clinton
39560,2501,SEDGEWICK AVENUE,2501 SEDGEWICK AVENUE,10468,Bronx,Asbestos,,2012-01-19,40.866145,-73.907903,Kingsbridge Heights,fordham - bronx pk
39610,145-36,159 STREET,145-36 159 STREET,11434,Queens,Asbestos,,2019-11-04,40.663459,-73.779655,Springfield Gardens South-Brookville,jamaica
39640,9,EAST 130 STREET,9 EAST 130 STREET,10037,Manhattan,Asbestos,,2012-03-26,40.809385999999996,-73.939464,Central Harlem North-Polo Grounds,central harlem - morningside heights
39663,222,EAST 93 STREET,222 EAST 93 STREET,10128,Manhattan,Asbestos,,2011-05-24,40.782965000000004,-73.950061,Yorkville,upper east side
39687,2728,HENRY HUDSON PARKWAY,2728 HENRY HUDSON PARKWAY,10463,Bronx,Asbestos,,2019-11-07,40.881528,-73.916756,Spuyten Duyvil-Kingsbridge,kingsbridge - riverdale
39705,350,EAST 91 STREET,350 EAST 91 STREET,10128,Manhattan,Asbestos,,2011-05-24,40.780549,-73.948225,Yorkville,upper east side
39777,486,BROOKLYN AVENUE,486 BROOKLYN AVENUE,11225,Brooklyn,Asbestos,,2011-03-23,40.662973,-73.945594,Prospect Lefferts Gardens-Wingate,east flatbush - flatbush
39779,71-19,162 STREET,71-19 162 STREET,11365,Queens,Asbestos,,2011-09-14,40.729822,-73.80717800000001,Pomonok-Flushing Heights-Hillcrest,fresh meadows
39780,1551,SHERIDAN AVENUE,1551 SHERIDAN AVENUE,10457,Bronx,Asbestos,,2012-01-05,40.842019,-73.91108100000001,East Concourse-Concourse Village,crotona -tremont
39821,260,FORT WASHINGTON AVENUE,260 FORT WASHINGTON AVENUE,10032,Manhattan,Asbestos,,2013-09-10,40.843858000000004,-73.941283,Washington Heights South,washington heights
39833,60,WEST  142 STREET,60 WEST  142 STREET,10037,Manhattan,Asbestos,,2019-11-18,40.817987,-73.93643900000001,Central Harlem North-Polo Grounds,central harlem - morningside heights
39843,651 WEST,WEST 168 STREET,651 WEST WEST 168 STREET,10032,Manhattan,Asbestos,,2013-05-19,40.841651,-73.941079,Washington Heights South,washington heights
39846,2010,BRUCKNER BOULEVARD,2010 BRUCKNER BOULEVARD,10473,Bronx,Asbestos,,2019-11-19,40.826122999999995,-73.85548299999999,Westchester-Unionport,pelham - throgs neck
39855,666,WEST  188 STREET,666 WEST  188 STREET,10040,Manhattan,Asbestos,,2019-11-19,40.854332,-73.93208100000001,Washington Heights North,washington heights
39863,1451,MYRTLE AVENUE,1451 MYRTLE AVENUE,11237,Brooklyn,Asbestos,,2010-09-29,40.698864,-73.917886,Bushwick North,williamsburg - bushwick
39864,319,WEST 94 STREET,319 WEST 94 STREET,10025,Manhattan,Asbestos,,2011-04-06,40.794205,-73.974734,Upper West Side,upper west side
39865,585,KNICKERBOCKER AVENUE,585 KNICKERBOCKER AVENUE,11221,Brooklyn,Asbestos,,2011-06-13,40.696515000000005,-73.914301,Bushwick North,williamsburg - bushwick
39883,70-35,113 STREET,70-35 113 STREET,11375,Queens,Asbestos,,2019-11-21,40.723683,-73.838532,Forest Hills,ridgewood -forest hills
39896,622,WEST  137 STREET,622 WEST  137 STREET,10031,Manhattan,Asbestos,,2019-11-21,40.821668,-73.954812,Manhattanville,washington heights
39906,247,WEST 29 STREET,247 WEST 29 STREET,10001,Manhattan,Asbestos,,2011-06-30,40.748436,-73.994262,Midtown-Midtown South,chelsea - clinton
