,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
56293,802,SENECA AVENUE,802 SENECA AVENUE,11385,Queens,Indoor Sewage,Sewage Leak,2018-12-10,40.701409999999996,-73.905339,Ridgewood,ridgewood -forest hills
56388,62,WEST 71 STREET,62 WEST 71 STREET,10023,Manhattan,Indoor Sewage,Sewage Leak,2018-11-10,40.776356,-73.978438,Lincoln Square,upper west side
56391,147-10,105 AVENUE,147-10 105 AVENUE,11435,Queens,Indoor Sewage,Sewage Leak,2018-04-19,40.695797,-73.803504,Jamaica,jamaica
56425,5018,3 AVENUE,5018 3 AVENUE,11220,Brooklyn,Indoor Sewage,Sewage Leak,2018-07-28,40.647529,-74.01475699999999,Sunset Park West,sunset park
56476,912,EAST 221 STREET,912 EAST 221 STREET,10469,Bronx,Indoor Sewage,Sewage Leak,2018-06-18,40.882952,-73.85566999999999,Williamsbridge-Olinville,northeast bronx
56480,,,,10314,Staten Island,Indoor Sewage,Sewage Leak,2018-03-28,,,,willowbrook
56481,2025,STILLWELL AVENUE,2025 STILLWELL AVENUE,11223,Brooklyn,Indoor Sewage,Sewage Leak,2018-05-17,40.597390000000004,-73.985377,Bensonhurst East,coney island - sheepshead bay
56511,203,NORMAN AVENUE,203 NORMAN AVENUE,11222,Brooklyn,Indoor Sewage,Sewage Leak,2018-07-02,40.727303000000006,-73.946072,Greenpoint,greenpoint
56523,640,ADEE AVENUE,640 ADEE AVENUE,10467,Bronx,Indoor Sewage,Sewage Leak,2018-11-05,40.869669,-73.86988000000001,Bronxdale,fordham - bronx pk
56530,71-38,71 STREET,71-38 71 STREET,11385,Queens,Indoor Sewage,Sewage Leak,2018-05-12,40.704184000000005,-73.880987,Glendale,ridgewood -forest hills
56548,118,EAST 7 STREET,118 EAST 7 STREET,10009,Manhattan,Indoor Sewage,Sewage Leak,2018-08-20,40.726378000000004,-73.98433100000001,East Village,union square - lower east side
56559,600,WEST 192 STREET,600 WEST 192 STREET,10040,Manhattan,Indoor Sewage,Sewage Leak,2018-10-26,40.856238,-73.928866,Washington Heights North,washington heights
56563,780,CLEVELAND STREET,780 CLEVELAND STREET,11208,Brooklyn,Indoor Sewage,Sewage Leak,2018-07-03,40.665393,-73.881701,East New York,east new york
56586,7,WEST 103 STREET,7 WEST 103 STREET,10025,Manhattan,Indoor Sewage,Sewage Leak,2018-11-19,40.796339,-73.961958,Upper West Side,upper west side
56621,70-64,BROADWAY,70-64 BROADWAY,11372,Queens,Indoor Sewage,Sewage Leak,2018-08-27,40.747929,-73.89438100000001,Elmhurst-Maspeth,west queens
56663,55,LASALLE STREET,55 LASALLE STREET,10027,Manhattan,Indoor Sewage,Sewage Leak,2018-08-05,40.8131,-73.95799699999999,Morningside Heights,central harlem - morningside heights
56686,218-47,133 ROAD,218-47 133 ROAD,11413,Queens,Indoor Sewage,Sewage Leak,2018-08-09,40.679905,-73.749845,Laurelton,southeast queens
56708,220-22,HILLSIDE AVENUE,220-22 HILLSIDE AVENUE,11427,Queens,Indoor Sewage,Sewage Leak,2018-10-16,40.730778,-73.743149,Bellerose,southeast queens
56793,71-38,71 STREET,71-38 71 STREET,11385,Queens,Indoor Sewage,Sewage Leak,2018-05-26,40.704184000000005,-73.880987,Glendale,ridgewood -forest hills
56818,63-50,FOREST AVENUE,63-50 FOREST AVENUE,11385,Queens,Indoor Sewage,Sewage Leak,2018-06-19,40.709693,-73.90462099999999,Ridgewood,ridgewood -forest hills
56867,1047,CLAY AVENUE,1047 CLAY AVENUE,10456,Bronx,Indoor Sewage,Sewage Leak,2018-10-18,40.828527,-73.91276500000001,East Concourse-Concourse Village,high bridge - morrisania
56870,115,SKILLMAN STREET,115 SKILLMAN STREET,11205,Brooklyn,Indoor Sewage,Sewage Leak,2018-11-20,40.695084,-73.95719799999999,Bedford,downtown - heights - slope
56871,426,BAINBRIDGE STREET,426 BAINBRIDGE STREET,11233,Brooklyn,Indoor Sewage,Sewage Leak,2018-12-14,40.682287,-73.919515,Stuyvesant Heights,bedford stuyvesant - crown heights
56874,1070,INTERVALE AVENUE,1070 INTERVALE AVENUE,10459,Bronx,Indoor Sewage,Sewage Leak,2019-02-20,40.825133,-73.896835,Longwood,hunts point - mott haven
56879,52,BLEECKER STREET,52 BLEECKER STREET,11221,Brooklyn,Indoor Sewage,Sewage Leak,2018-12-31,40.694138,-73.92217600000001,Bushwick South,williamsburg - bushwick
56906,640,ADEE AVENUE,640 ADEE AVENUE,10467,Bronx,Indoor Sewage,Sewage Leak,2018-08-21,40.869669,-73.86988000000001,Bronxdale,fordham - bronx pk
